"","word","Sociability_dict","Morality_dict","Ability_dict","Assertiveness_dict","health_dict","Status_dict","occupation_dict","Politics_dict","Religion_dict","beliefsother_dict","inhabitant_dict","country_dict","emotions_dict","relative_dict","clothing_dict","deviance_dict","bodpart_dict","bodprop_dict","skin_dict","bodcov_dict","beauty_dict","insults_dict","stem_dict","humanities_dict","art_dict","socialgroups_dict","Lacksknowledge_dict","fortune_dict","Sociability_dict_hi","Sociability_dict_lo","Morality_dict_hi","Morality_dict_lo","Ability_dict_hi","Ability_dict_lo","Assertiveness_dict_hi","Assertiveness_dict_lo","Status_dict_hi","Status_dict_lo","Politics_dict_hi","Politics_dict_lo","Religion_dict_hi","Religion_dict_lo","Beauty_dict_hi","Beauty_dict_lo","Health_dict_hi","Health_dict_lo","Warmth_dict","Competence_dict","Beliefs_dict","Beliefs_dict_ABC","Geography_dict","Appearance_dict","Warmth_dict_hi","Competence_dict_hi","Beliefs_dict_hi","Beliefs_dict_ABC_hi","Warmth_dict_lo","Competence_dict_lo","Beliefs_dict_lo","Beliefs_dict_ABC_lo","Other_large_dict","Other_dict","Sociability_dict_Pos","Morality_dict_Pos","Ability_dict_Pos","Assertiveness_dict_Pos","health_dict_Pos","Status_dict_Pos","occupation_dict_Pos","Politics_dict_Pos","Religion_dict_Pos","beliefsother_dict_Pos","emotions_dict_Pos","deviance_dict_Pos","socialgroups_dict_Pos","Lacksknowledge_dict_Pos","Warmth_dict_Pos","Competence_dict_Pos","Beliefs_dict_Pos","Geography_dict_Pos","Appearance_dict_Pos","Other_dict_Pos","Sociability_dict_Neg","Morality_dict_Neg","Ability_dict_Neg","Assertiveness_dict_Neg","health_dict_Neg","Status_dict_Neg","occupation_dict_Neg","Politics_dict_Neg","Religion_dict_Neg","beliefsother_dict_Neg","emotions_dict_Neg","deviance_dict_Neg","socialgroups_dict_Neg","Lacksknowledge_dict_Neg","Warmth_dict_Neg","Competence_dict_Neg","Beliefs_dict_Neg","Geography_dict_Neg","Appearance_dict_Neg","Other_dict_Neg","Sociability_dir","Morality_dir","Ability_dir","Assertiveness_dir","health_dir","Status_dir","work_dir_dummy","Politics_dir","Religion_dir","beliefsother_dir_dummy","deviance_dir","beauty_dir","Warmth_dir","Competence_dir","Beliefs_dir","Beliefs_dir_ABC","PosScore","NegScore","NeuScore","Val_bing","Val_NRC","Val_afinn","Val_loughran","Val_sentiwn","Val_bing2","Val_NRC2","Val_afinn2","Val_loughran2","Val_sentiwn2","Val_SWN","Val"
"18","aberrant",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0.5,0.12,0.38,NA,-1,NA,-1,0.1875,NA,-1,NA,-1,0.1875,0.38,-0.54
"19","abet",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,-1,0,0,0
"20","abetter",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"21","abettor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"22","abhor",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0.25,0.75,NA,-1,-0.6,NA,-0.25,NA,-1,-0.6,NA,-0.25,-0.25,-0.616666667
"23","abhorrence",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0.38,0.62,NA,NA,NA,NA,-0.375,NA,NA,NA,NA,-0.375,-0.38,-0.38
"24","abhorrent",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0.75,0.25,NA,-1,-0.6,NA,-0.75,NA,-1,-0.6,NA,-0.75,-0.75,-0.783333333
"25","abide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0.5,0.5,NA,NA,NA,NA,-0.25,NA,NA,NA,NA,0.041666667,-0.5,-0.5
"26","ability",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.31,0.06,0.63,NA,1,0.4,NA,0.25,NA,1,0.4,NA,0.25,0.25,0.55
"27","abject",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,0.62,0,0.38,NA,-1,NA,NA,-0.3125,NA,-1,NA,NA,-0.3125,0.62,-0.19
"28","able",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.12,0,0.88,NA,NA,NA,1,0.15625,NA,NA,NA,1,0.15625,0.12,0.56
"29","ableism",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0.25,0.12,0.63,NA,NA,NA,NA,0.125,NA,NA,NA,NA,0.125,0.13,0.13
"30","ableseaman",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"31","abnegation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.12,0,0.88,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,0.0625,0.12,0.12
"32","abnormal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-1,NA,NA,NA,0,0.75,0.25,-1,-1,NA,-1,-0.208333333,-1,-1,NA,-1,-0.208333333,-0.75,-0.9375
"33","abnormality",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.21,0.33,0.46,NA,NA,NA,-1,-0.03125,NA,NA,NA,-1,-0.03125,-0.12,-0.56
"34","abnormalpsychology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0,0.88,NA,NA,NA,NA,0.125,NA,NA,NA,NA,0.125,0.12,0.12
"35","abolitionism",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36","abolitionist",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-1,-1,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"37","abominable",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0.56,0.44,-1,-1,NA,NA,-0.5625,-1,-1,NA,NA,-0.5625,-0.56,-0.853333333
